,city,country,pop2023,latitude,longitude,airport_available,POP PER,GDP per city in crores
0,MUMBAI,India,12691836,19.0728,72.8826,TRUE,0.008955741,24363.19803
1,DELHI,India,10927986,28.652,77.2315,TRUE,0.007711115,20977.31857
2,BENGALURU,India,8443675,12.9719,77.5937,TRUE,0.005958111,16208.44503
3,HYDERABAD,India,6809970,17.3841,78.4564,TRUE,0.00480532,13072.39139
4,AHMEDABAD,India,6357693,23.0258,72.5873,TRUE,0.004486179,12204.20226
5,CHENNAI,India,4681087,13.0878,80.2785,TRUE,0.003303116,8985.796032
6,KOLKATA,India,4631392,22.5626,88.363,TRUE,0.003268049,8890.401707
7,SURAT,India,4591246,21.1959,72.8302,TRUE,0.003239721,8813.337605
8,PUNE,India,3124458,18.5196,73.8553,TRUE,0.002204712,5997.69718
9,KANPUR,India,2823249,26.4652,80.3497,TRUE,0.001992169,5419.497579
10,JAIPUR,India,2711758,26.9196,75.7878,TRUE,0.001913498,5205.479897
11,NAVI MUMBAI,India,2600000,19.0368,73.0158,FALSE,0.001834638,4990.949684
12,LUCKNOW,India,2472011,26.8393,80.9231,TRUE,0.001744325,4745.262507
13,NAGPUR,India,2228018,21.1463,79.0849,TRUE,0.001572156,4276.894513
14,COIMBATORE,India,2136916,11.0056,76.9661,TRUE,0.001507872,4102.015475
15,INDORE,India,1837041,22.7179,75.8333,TRUE,0.001296271,3526.376615
16,VADODARA,India,1822221,22.2994,73.2081,TRUE,0.001285814,3497.928202
17,KALLAKURICHI,India,1682687,11.7338,78.9593,FALSE,0.001187355,3230.079289
18,PATNA,India,1599920,25.5941,85.1356,TRUE,0.001128952,3071.200084
19,BHOPAL,India,1599914,23.2547,77.4029,TRUE,0.001128947,3071.188566
20,LUDHIANA,India,1545368,30.912,75.8538,FALSE,0.001090458,2966.482281
21,MADURAI,India,1465625,9.919,78.1195,TRUE,0.001034189,2813.407935
22,TIRUNELVELI,India,1435844,8.72742,77.6838,FALSE,0.001013175,2756.240445
23,AGRA,India,1430055,27.1833,78.0167,FALSE,0.00100909,2745.127904
24,RAJKOT,India,1390640,22.2916,70.7932,TRUE,0.000981277,2669.467026
25,NAJAFGARH,India,1365000,28.6092,76.9798,FALSE,0.000963185,2620.248584
26,JAMSHEDPUR,India,1339438,22.8028,86.1854,FALSE,0.000945148,2571.17987
27,GORAKHPUR,India,1324570,29.4477,75.6721,TRUE,0.000934656,2542.639317
28,NASHIK,India,1289497,19.9973,73.791,FALSE,0.000909908,2475.313325
29,PIMPRI,India,1284606,18.6229,73.807,FALSE,0.000906457,2465.924581
30,KALYAN,India,1262255,19.2437,73.1355,FALSE,0.000890685,2423.01969
31,THANE,India,1261517,19.197,72.9635,FALSE,0.000890164,2421.603028
32,MEERUT,India,1223184,28.98,77.7064,FALSE,0.000863115,2348.019153
33,NOWRANGAPUR,India,1220946,19.2311,82.5483,FALSE,0.000861536,2343.723097
34,FARIDABAD,India,1220229,28.4112,77.3132,FALSE,0.00086103,2342.346747
35,GHAZIABAD,India,1199191,28.6653,77.4391,FALSE,0.000846185,2301.962286
36,DHANBAD,India,1196214,23.7976,86.4299,FALSE,0.000844085,2296.247648
37,DOMBIVLI,India,1193000,19.2167,73.0833,FALSE,0.000841817,2290.078067
38,VARANASI,India,1164404,25.3167,83.0104,TRUE,0.000821638,2235.185298
39,RANCHI,India,1120374,23.3432,85.3094,TRUE,0.00079057,2150.665485
40,AMRITSAR,India,1092450,31.6223,74.8753,TRUE,0.000770866,2097.062686
41,ALLAHABAD,India,1073438,25.4448,81.8432,FALSE,0.00075745,2060.567326
42,VISAKHAPATNAM,India,1063178,17.6801,83.2016,TRUE,0.00075021,2040.87227
43,TENI,India,1034724,10.0112,77.4777,FALSE,0.000730132,1986.252085
44,JABALPUR,India,1030168,23.167,79.9501,TRUE,0.000726918,1977.506405
45,HAORA,India,1027672,22.5769,88.3186,FALSE,0.000725156,1972.715094
46,TIRUCHIRAPPALLI,India,1022518,10.8155,78.6965,FALSE,0.000721519,1962.821496
47,AURANGABAD,India,1016441,19.8776,75.3423,FALSE,0.000717231,1951.156111
48,SHIVAJI NAGAR,India,1000000,18.5302,73.8526,FALSE,0.00070563,1919.596032
49,SOLAPUR,India,997281,17.6715,75.9104,FALSE,0.000703711,1914.376651
50,SRINAGAR,India,975857,34.0857,74.8055,TRUE,0.000688594,1873.251225
51,TIRUPPUR,India,963173,11.1154,77.3546,FALSE,0.000679644,1848.903069
52,CHANDIGARH,India,960787,30.7363,76.7884,TRUE,0.00067796,1844.322913
53,JODHPUR,India,921476,26.2684,73.0059,TRUE,0.000650221,1768.861673
54,SALEM,India,917414,11.6538,78.1554,FALSE,0.000647355,1761.064274
55,GUWAHATI,India,899094,26.1844,91.7458,TRUE,0.000634428,1725.897275
56,GWALIOR,India,882458,26.2298,78.1734,TRUE,0.000622689,1693.962875
57,VIJAYAWADA,India,874587,16.5075,80.6466,TRUE,0.000617135,1678.853735
58,MYSORE,India,868313,12.2979,76.6393,TRUE,0.000612708,1666.81019
59,ROHINI,India,860000,28.7432,77.0678,FALSE,0.000606842,1650.852588
60,HUBLI,India,840214,15.3478,75.1338,TRUE,0.00059288,1612.871461
61,NARELA,India,800000,28.8527,77.0929,FALSE,0.000564504,1535.676826
62,JALANDHAR,India,785178,31.3256,75.5792,FALSE,0.000554045,1507.224573
63,THIRUVANANTHAPURAM,India,784153,8.4855,76.9492,FALSE,0.000553322,1505.256988
64,KOTA,India,763088,25.1825,75.8391,FALSE,0.000538458,1464.820697
65,BHUBANESHWAR,India,762243,20.2724,85.8338,FALSE,0.000537862,1463.198638
66,ALIGARH,India,753207,27.8815,78.0746,FALSE,0.000531486,1445.853169
67,BAREILLY,India,745435,28.3668,79.4317,FALSE,0.000526001,1430.934068
68,MORADABAD,India,721139,28.8389,78.7768,FALSE,0.000508857,1384.295563
69,BHIWANDI,India,707035,19.3002,73.0588,FALSE,0.000498905,1357.221581
70,RAIPUR,India,679995,21.2333,81.6333,TRUE,0.000479825,1305.315704
71,GORAKHPUR,India,674246,26.7663,83.3689,TRUE,0.000475768,1294.279946
72,PUDUCHERRY,India,657209,11.9338,79.8298,FALSE,0.000463746,1261.575789
73,BHILAI,India,625138,21.2092,81.4285,FALSE,0.000441116,1200.012424
74,BORIVLI,India,609617,19.235,72.8598,FALSE,0.000430164,1170.218374
75,BHAVNAGAR,India,605882,21.7629,72.1533,FALSE,0.000427529,1163.048683
76,COCHIN,India,604696,9.93988,76.2602,FALSE,0.000426692,1160.772042
77,AMRAVATI,India,603837,20.9333,77.75,FALSE,0.000426086,1159.123109
