CITY 2,FROM DEMAND
AHMEDABAD,9150
AIZAWL,5244
AJMER,259
AMRITSAR,13391
BAGDOGRA,35579
BELGAUM,9739
BENGALURU,765923
BHOPAL,85308
BHUBANESWAR,305607
BHUJ,4540
BIDAR ,454
"BIDAR AIRPORT, KARNATAKA",3381
BILASPUR,4628
CHANDIGARH,268630
CHENNAI,797225
COIMBATORE,502678
DABOLIM,860919
DARBHANGA,81684
DEHRA DUN,149977
DELHI,7607395
DHARAMSALA,79150
DIBRUGARH,151703
DIMAPUR,42645
DURGAPUR,155378
GAYA,40584
Gondia Airport,694
GORAKHPUR,163348
GUWAHATI,1300937
GWALIOR,61137
HUBLI,89944
HYDERABAD,3958187
IMPHAL,364730
INDORE,751270
JABALPUR,143840
JAGDALPUR,17067
JAIPUR,1055525
JAISALMER,31439
JALGAON,385
JAMMU,463572
JAMNAGAR,10853
JEYPORE,312
JHARSUGUDA,88537
JODHPUR,280827
JORHAT,28837
KADAPA,18138
KALABURAGI,3100
"KALABURAGI, KARNATAKA",34898
KANDLA,17492
KANNUR,104203
KANPUR,61158
KHAJURAHO,8437
KOCHI,1532542
KOLHAPUR,40375
KOLKATA,5420681
KOZHIKODE,183760
KULLU,4981
KURNOOL,11633
Kushinagar International Airport,13229
LEH,508165
LILABARI,15819
LUCKNOW,1514505
MADURAI,326476
MANGALORE,333834
MUMBAI,12649439
MYSORE,83505
NAGPUR,935551
NANDED,2444
NASIK,42737
PAKYONG,17254
PANTNAGAR,34946
PASIGHAT,5899
PATHANKOT,3903
PATNA,1695226
PONDICHERRY,31435
PORBANDAR,9457
PORT BLAIR,555200
PUNE,3401314
RAIPUR,1041778
RAJAHMUNDRY,180713
RAJKOT,350999
RANCHI,1124993
RUPSI,24459
SHILLONG,44264
SHIRDI,320245
SILCHAR,193030
SIMLA,2034
Sindhudurg Airport,18431
SRINAGAR,2098443
SURAT,573124
TEZPUR,2942
TEZU,10768
TIRUCHIRAPALLY,158629
TIRUPATI,409233
TRIVANDRUM,741478
TUTICORIN,92125
UDAIPUR,592433
VADODARA,506607
VARANASI,1100207
VIDYANAGAR,4808
VIJAYAWADA,383594
VISAKHAPATNAM,1118489
ZIRO,73
